type,name
Undergraduate,Introduction to Statistics
Undergraduate,Judgment and Decision Making
Undergraduate,Reading the Brain (Intro Seminar)
Undergraduate,Introduction to Cognitive Science
Undergraduate,Cognitive Neuroscience of Memory
Undergraduate,Functional MRI Laboratory
Graduate,Cognitive Neuroscience
Graduate,Brain Networks
Graduate,Advanced Statistical Modeling
Graduate,Functional Neuroimaging
Graduate,Neuroeconomics
Graduate,Human Learning and Memory
Graduate,Computer Methods for Experimental Psychology
