,url
10.1038/ncomms9885,https://openneuro.org/datasets/ds000031/versions/00001
10.1016/j.neuron.2015.06.037,https://openneuro.org/datasets/ds000031/versions/00001
10.1038/sdata.2016.110,https://openneuro.org/datasets/ds000030/versions/1.0.0
10.1073/pnas.1321728111,https://openneuro.org/datasets/ds000030/versions/1.0.0
10.1162/jocn_a_00567,https://openneuro.org/datasets/ds000030/versions/1.0.0
10.1016/j.neuroimage.2018.10.051,https://openneuro.org/datasets/ds001167/versions/00002
10.3389/fnins.2012.00080,https://openneuro.org/datasets/ds000001/versions/1.0.0
10.1038/s41593-019-0436-x,https://openneuro.org/datasets/ds002105/versions/1.1.0
10.1126/science.1134239,https://openneuro.org/datasets/ds000005/versions/00001
10.1126/science.1134239,https://openneuro.org/datasets/ds000008/versions/00001
10.1073/pnas.0602659103,https://openneuro.org/datasets/ds000011/versions/00001
10.1038/35107080,https://openneuro.org/datasets/ds000052/versions/00001
10.1093/cercor/bhm220,https://openneuro.org/datasets/ds000007/versions/00001
10.1038/s41597-019-0113-7,https://openneuro.org/datasets/ds001734/versions/1.0.5
10.1016/j.neuroimage.2005.08.010,https://openneuro.org/datasets/ds000017/versions/00001
10.1038/s41467-019-10301-1,https://github.com/IanEisenberg/Self_Regulation_Ontology/tree/master/Data
10.1080/00223891.2020.1732994,https://github.com/IanEisenberg/Self_Regulation_Ontology/tree/master/Data
10.1073/pnas.1818430116,https://github.com/IanEisenberg/Self_Regulation_Ontology/tree/master/Data
