role,journal,dates
Founding Co-Editor-in-Chief,Frontiers in Brain Imaging Methods,2012-2018
Associate Editor,Frontiers in Human Neuroscience,
Contributing Editor,Psychological Bulletin,2012-2014
Advisory Council Member ,Advances in Methods and Practices in Psychological Science ,
Handling Editor (ad hoc) ,Proceedings of the National Academy of Sciences,
Handling Editor (ad hoc) ,eLife ,
Editorial board ,Nature Scientific Data (Senior Editorial Board) ,
Editorial board ,Annual Review of Psychology ,
Editorial board ,Trends in Cognitive Sciences ,
Editorial board ,Cerebral Cortex ,
Editorial board ,Human Brain Mapping ,
Editorial board ,GigaScience ,
Editorial board ,"NBDT (Neurons, Behavior, Data Analysis, and Theory) ",
